District,Crop,Area,Production,Yield,NDVI,NDWI,EVI,SAVI,SMAI,Precipitation,CQI,District_Encoded,Crop_Encoded,NDVI_NDWI_Ratio,EVI_SAVI_Ratio,Vegetation_Index,Water_Veg_Interaction,Precip_NDVI,Quality_NDVI,Quality_Precip,Log_Area
Chennai,Paddy,121,356.0,2.9421487603305785,0.2410419370669223,0.2939825035132497,12.926848202625232,0.3614722126298418,0.0563373781074205,159.9465686856479,0.0899318584541462,2,6,0.8171397767532182,35.66300464478965,4.509787450773999,0.070862112110617,38.55383074319611,0.02167734936581567,14.384292175264058,4.804021044733257
Chennai,Groundnut,1,2.0,2.0,0.2410419370669223,0.2939825035132497,12.926848202625232,0.3614722126298418,0.0563373781074205,159.9465686856479,0.1952292632017799,2,4,0.8171397767532182,35.66300464478965,4.509787450773999,0.070862112110617,38.55383074319611,0.047058439774305044,31.22625075615192,0.6931471805599453
Chennai,Gingelly,1,1.0,1.0,0.2410419370669223,0.2939825035132497,12.926848202625232,0.3614722126298418,0.0563373781074205,159.9465686856479,0.2084840230434684,2,3,0.8171397767532182,35.66300464478965,4.509787450773999,0.070862112110617,38.55383074319611,0.05025339276190249,33.34630411158232,0.6931471805599453
Kancheepuram,Paddy,51950,193683.0,3.7282579403272376,0.1908842343788188,0.1857692838388052,9.258646836504097,0.2862335118244733,0.0666252892942774,117.35336965512954,0.1217694199440502,9,6,1.0220322659884753,32.23386706409801,3.245254860902463,0.035460427516671805,22.400908118393907,0.02324386249677289,14.290051751384826,10.858056245620261
Kancheepuram,Ragi,34,104.0,3.0588235294117645,0.1908842343788188,0.1857692838388052,9.258646836504097,0.2862335118244733,0.0666252892942774,117.35336965512954,0.3933346143214029,9,7,1.0220322659884753,32.23386706409801,3.245254860902463,0.035460427516671805,22.400908118393907,0.07508137670942897,46.159142392617404,3.5553480614894135
Kancheepuram,Maize,2,14.0,7.0,0.1908842343788188,0.1857692838388052,9.258646836504097,0.2862335118244733,0.0666252892942774,117.35336965512954,0.4248049803346843,9,5,1.0220322659884753,32.23386706409801,3.245254860902463,0.035460427516671805,22.400908118393907,0.08108857343149538,49.85229588855624,1.0986122886681096
Kancheepuram,Sugarcane,497,59187.0,119.08853118712274,0.1908842343788188,0.1857692838388052,9.258646836504097,0.2862335118244733,0.0666252892942774,117.35336965512954,0.337822270181385,9,8,1.0220322659884753,32.23386706409801,3.245254860902463,0.035460427516671805,22.400908118393907,0.06448494539968815,39.64458175033112,6.210600077024653
Kancheepuram,Groundnut,1770,5318.0,3.004519774011299,0.1908842343788188,0.1857692838388052,9.258646836504097,0.2862335118244733,0.0666252892942774,117.35336965512954,0.3502935561873774,9,4,1.0220322659884753,32.23386706409801,3.245254860902463,0.035460427516671805,22.400908118393907,0.06686551728066127,41.10812918706719,7.479299637782834
Kancheepuram,Gingelly,251,131.0,0.5219123505976095,0.1908842343788188,0.1857692838388052,9.258646836504097,0.2862335118244733,0.0666252892942774,117.35336965512954,0.3944454314591826,9,3,1.0220322659884753,32.23386706409801,3.245254860902463,0.035460427516671805,22.400908118393907,0.07529341418830891,46.28950052680652,5.529429087511423
Chengalpattu,Paddy,57326,241435.0,4.211614276244636,0.1683563967155686,0.1546361258060442,4.09343086793896,0.2524748917138931,0.0602890628127346,87.73712044044368,0.1268079426104406,1,6,1.0817308375137569,16.149255810943888,1.5047540521228076,0.02603398094276095,14.771105455552958,0.021348928292808392,11.125763733617095,10.956526995909481
Chengalpattu,Cholam,2,2.0,1.0,0.1683563967155686,0.1546361258060442,4.09343086793896,0.2524748917138931,0.0602890628127346,87.73712044044368,0.5634778700208046,1,0,1.0817308375137569,16.149255810943888,1.5047540521228076,0.02603398094276095,14.771105455552958,0.09486510382566618,49.43792574754,1.0986122886681096
Chengalpattu,Cumbu,13,35.0,2.6923076923076925,0.1683563967155686,0.1546361258060442,4.09343086793896,0.2524748917138931,0.0602890628127346,87.73712044044368,0.5549175958221371,1,2,1.0817308375137569,16.149255810943888,1.5047540521228076,0.02603398094276095,14.771105455552958,0.09342392690668126,48.686871939168284,2.639057329615259
Chengalpattu,Ragi,101,294.0,2.910891089108911,0.1683563967155686,0.1546361258060442,4.09343086793896,0.2524748917138931,0.0602890628127346,87.73712044044368,0.4112338441525097,1,7,1.0817308375137569,16.149255810943888,1.5047540521228076,0.02603398094276095,14.771105455552958,0.06923384820900823,36.080473313595384,4.624972813284271
Chengalpattu,Maize,5,39.0,7.8,0.1683563967155686,0.1546361258060442,4.09343086793896,0.2524748917138931,0.0602890628127346,87.73712044044368,0.4414795841141172,1,5,1.0817308375137569,16.149255810943888,1.5047540521228076,0.02603398094276095,14.771105455552958,0.07432591200494056,38.734147443417285,1.791759469228055
Chengalpattu,Sugarcane,813,72303.0,88.93357933579335,0.1683563967155686,0.1546361258060442,4.09343086793896,0.2524748917138931,0.0602890628127346,87.73712044044368,0.3517845566686133,1,8,1.0817308375137569,16.149255810943888,1.5047540521228076,0.02603398094276095,14.771105455552958,0.059225180380911485,30.86456401752221,6.70196036600254
Chengalpattu,Cotton,23,45.0,1.9565217391304348,0.1683563967155686,0.1546361258060442,4.09343086793896,0.2524748917138931,0.0602890628127346,87.73712044044368,0.5355687151685722,1,1,1.0817308375137569,16.149255810943888,1.5047540521228076,0.02603398094276095,14.771105455552958,0.0901664190793675,46.98925686687869,3.1780538303479458
Chengalpattu,Groundnut,6915,37618.0,5.440057845263919,0.1683563967155686,0.1546361258060442,4.09343086793896,0.2524748917138931,0.0602890628127346,87.73712044044368,0.3655283377193705,1,4,1.0817308375137569,16.149255810943888,1.5047540521228076,0.02603398094276095,14.771105455552958,0.061539033835864676,32.07040379087958,8.84159284680318
Chengalpattu,Gingelly,701,406.0,0.579172610556348,0.1683563967155686,0.1546361258060442,4.09343086793896,0.2524748917138931,0.0602890628127346,87.73712044044368,0.4123594332680258,1,3,1.0817308375137569,16.149255810943888,1.5047540521228076,0.02603398094276095,14.771105455552958,0.06942334833667879,36.17922926138988,6.553933404025811
Cuddalore,Paddy,138837,501580.0,3.6127257143268725,0.3406753963239198,0.4153359789367604,3.408492243394948,0.5108454079153911,0.0891100858591408,177.53194657710864,0.1288378823743649,4,6,0.8182703719095747,6.659222082848846,1.4200043492114196,0.14149474923186406,60.480766260313445,0.04389189663942132,22.872840050793553,11.841063064801384
Cuddalore,Cholam,1,1.0,1.0,0.3406753963239198,0.4153359789367604,3.408492243394948,0.5108454079153911,0.0891100858591408,177.53194657710864,0.4303394458873525,4,0,0.8182703719095747,6.659222082848846,1.4200043492114196,0.14149474923186406,60.480766260313445,0.14660606128148987,76.398999517296,0.6931471805599453
Cuddalore,Cumbu,4621,15985.0,3.459207963644233,0.3406753963239198,0.4153359789367604,3.408492243394948,0.5108454079153911,0.0891100858591408,177.53194657710864,0.4260300875018065,4,2,0.8182703719095747,6.659222082848846,1.4200043492114196,0.14149474923186406,60.480766260313445,0.14513796890559216,75.63395073461163,8.438582790834326
Cuddalore,Ragi,43,121.0,2.813953488372093,0.3406753963239198,0.4153359789367604,3.408492243394948,0.5108454079153911,0.0891100858591408,177.53194657710864,0.3263159128074102,4,7,0.8182703719095747,6.659222082848846,1.4200043492114196,0.14149474923186406,60.480766260313445,0.11116780292246611,57.931499199785584,3.784189633918261
Cuddalore,Maize,24922,146454.0,5.876494663349651,0.3406753963239198,0.4153359789367604,3.408492243394948,0.5108454079153911,0.0891100858591408,177.53194657710864,0.3639350713705245,4,5,0.8182703719095747,6.659222082848846,1.4200043492114196,0.14149474923186406,60.480766260313445,0.12398372467532748,64.61010164808818,10.123546350888414
Cuddalore,Sugarcane,15918,2009847.0,126.26253298153034,0.3406753963239198,0.4153359789367604,3.408492243394948,0.5108454079153911,0.0891100858591408,177.53194657710864,0.2922067372335728,4,8,0.8182703719095747,6.659222082848846,1.4200043492114196,0.14149474923186406,60.480766260313445,0.09954764601556691,51.87603086402187,9.675268643355135
